Order_ID,Date,Branch,Product,Category,Aggregator,Order_Type,Quantity,Gross_Sales,Discount,Commission,Net_Sales
CB-2025,2026-06-02,Deira,Samosa Chaat,Chaat,Talabat,Delivery,3,45,0.0,11.25,33.75
CB-2026,2026-06-02,Deira,Falooda,Desserts,Talabat,Delivery,6,96,0.0,24.0,72.0
CB-2027,2026-06-03,Karama,Pav Bhaji,Mains,Direct,Dine-in,4,88,4.4,0.0,83.6
CB-2028,2026-06-03,Muweilah,Bhel Puri,Chaat,Careem,Delivery,1,12,0.0,2.64,9.36
CB-2029,2026-06-03,Muweilah,Vada Pav,Snacks,Careem,Delivery,2,20,2.0,3.96,14.04
CB-2030,2026-06-03,Muweilah,Samosa Chaat,Chaat,Direct,Dine-in,1,15,0.0,0.0,15.0
CB-2031,2026-06-03,JVC,Masala Chai,Beverages,Careem,Delivery,1,8,0.4,1.67,5.93
CB-2032,2026-06-03,Deira,Chole Bhature,Mains,Talabat,Delivery,4,96,9.6,21.6,64.8
CB-2033,2026-06-04,Karama,Bhel Puri,Chaat,Noon,Delivery,3,36,5.4,6.12,24.48
CB-2034,2026-06-04,Karama,Pani Puri,Chaat,Talabat,Delivery,2,24,3.6,5.1,15.3
CB-2035,2026-06-04,Karama,Masala Chai,Beverages,Direct,Dine-in,3,24,2.4,0.0,21.6
CB-2036,2026-06-04,Muweilah,Aloo Tikki Chaat,Chaat,Noon,Delivery,6,96,0.0,19.2,76.8
CB-2037,2026-06-04,Muweilah,Bhel Puri,Chaat,Noon,Delivery,1,12,0.0,2.4,9.6
CB-2038,2026-06-04,Barsha,Masala Dosa,Mains,Talabat,Delivery,6,120,12.0,27.0,81.0
CB-2039,2026-06-05,Karama,Dahi Puri,Chaat,Talabat,Delivery,2,28,0.0,7.0,21.0
CB-2040,2026-06-05,Karama,Pav Bhaji,Mains,Talabat,Delivery,1,22,0.0,5.5,16.5
CB-2041,2026-06-05,Karama,Dahi Puri,Chaat,Noon,Delivery,6,84,4.2,15.96,63.84
CB-2042,2026-06-05,Karama,Samosa Chaat,Chaat,Direct,Takeaway,5,75,0.0,0.0,75.0
CB-2043,2026-06-05,Muweilah,Sev Puri,Chaat,Direct,Dine-in,6,78,11.7,0.0,66.3
CB-2044,2026-06-05,Muweilah,Paneer Tikka,Mains,Careem,Delivery,1,28,0.0,6.16,21.84
CB-2045,2026-06-05,Muweilah,Vada Pav,Snacks,Talabat,Delivery,1,10,0.0,2.5,7.5
CB-2046,2026-06-05,JVC,Mango Lassi,Beverages,Talabat,Delivery,6,72,3.6,17.1,51.3
CB-2047,2026-06-05,JVC,Chole Bhature,Mains,Talabat,Delivery,5,120,12.0,27.0,81.0
CB-2048,2026-06-05,JVC,Vada Pav,Snacks,Careem,Delivery,4,40,0.0,8.8,31.2
CB-2049,2026-06-05,JVC,Paneer Tikka,Mains,Careem,Delivery,6,168,0.0,36.96,131.04
CB-2050,2026-06-05,Barsha,Masala Chai,Beverages,Noon,Delivery,6,48,0.0,9.6,38.4
CB-2051,2026-06-06,Karama,Falooda,Desserts,Talabat,Delivery,4,64,0.0,16.0,48.0
CB-2052,2026-06-06,Karama,Samosa Chaat,Chaat,Talabat,Delivery,1,15,0.0,3.75,11.25
CB-2053,2026-06-06,Karama,Samosa Chaat,Chaat,Talabat,Delivery,5,75,0.0,18.75,56.25
CB-2054,2026-06-06,Muweilah,Mango Lassi,Beverages,Direct,Dine-in,1,12,0.0,0.0,12.0
CB-2055,2026-06-06,Muweilah,Bhel Puri,Chaat,Talabat,Delivery,2,24,0.0,6.0,18.0
CB-2056,2026-06-06,Muweilah,Pani Puri,Chaat,Careem,Delivery,1,12,0.0,2.64,9.36
CB-2057,2026-06-06,JVC,Falooda,Desserts,Talabat,Delivery,3,48,0.0,12.0,36.0
CB-2058,2026-06-06,Barsha,Pav Bhaji,Mains,Careem,Delivery,6,132,0.0,29.04,102.96
CB-2059,2026-06-06,Barsha,Paneer Tikka,Mains,Talabat,Delivery,6,168,0.0,42.0,126.0
CB-2060,2026-06-06,Barsha,Pav Bhaji,Mains,Talabat,Delivery,1,22,0.0,5.5,16.5
CB-2061,2026-06-06,Barsha,Aloo Tikki Chaat,Chaat,Talabat,Delivery,3,48,0.0,12.0,36.0
CB-2062,2026-06-06,Barsha,Paneer Tikka,Mains,Talabat,Delivery,2,56,8.4,11.9,35.7
CB-2063,2026-06-06,Barsha,Pav Bhaji,Mains,Direct,Dine-in,2,44,0.0,0.0,44.0
CB-2064,2026-06-06,Barsha,Paneer Tikka,Mains,Direct,Takeaway,4,112,5.6,0.0,106.4
CB-2065,2026-06-06,Deira,Mango Lassi,Beverages,Direct,Takeaway,4,48,0.0,0.0,48.0
CB-2066,2026-06-06,Deira,Masala Chai,Beverages,Talabat,Delivery,4,32,0.0,8.0,24.0
CB-2067,2026-06-06,Deira,Samosa Chaat,Chaat,Direct,Takeaway,6,90,4.5,0.0,85.5
CB-2068,2026-06-07,Karama,Pani Puri,Chaat,Noon,Delivery,4,48,0.0,9.6,38.4
CB-2069,2026-06-07,Karama,Chole Bhature,Mains,Noon,Delivery,4,96,0.0,19.2,76.8
CB-2070,2026-06-07,Karama,Masala Chai,Beverages,Noon,Delivery,6,48,0.0,9.6,38.4
CB-2071,2026-06-07,Karama,Falooda,Desserts,Noon,Delivery,5,80,0.0,16.0,64.0
CB-2072,2026-06-07,Barsha,Aloo Tikki Chaat,Chaat,Noon,Delivery,5,80,4.0,15.2,60.8
CB-2073,2026-06-07,Barsha,Aloo Tikki Chaat,Chaat,Talabat,Delivery,6,96,0.0,24.0,72.0
CB-2074,2026-06-08,Karama,Masala Chai,Beverages,Careem,Delivery,2,16,2.4,2.99,10.61
CB-2075,2026-06-08,Karama,Pav Bhaji,Mains,Direct,Takeaway,4,88,0.0,0.0,88.0
CB-2076,2026-06-08,Muweilah,Paneer Tikka,Mains,Direct,Dine-in,6,168,0.0,0.0,168.0
CB-2077,2026-06-08,Muweilah,Pani Puri,Chaat,Noon,Delivery,4,48,0.0,9.6,38.4
CB-2078,2026-06-08,JVC,Sev Puri,Chaat,Careem,Delivery,4,52,2.6,10.87,38.53
CB-2079,2026-06-08,JVC,Gulab Jamun,Desserts,Talabat,Delivery,6,60,6.0,13.5,40.5
CB-2080,2026-06-08,Barsha,Gulab Jamun,Desserts,Talabat,Delivery,1,10,0.0,2.5,7.5
CB-2081,2026-06-09,Karama,Samosa Chaat,Chaat,Talabat,Delivery,4,60,3.0,14.25,42.75
CB-2082,2026-06-09,Muweilah,Pani Puri,Chaat,Talabat,Delivery,1,12,0.0,3.0,9.0
CB-2083,2026-06-09,Muweilah,Bhel Puri,Chaat,Direct,Dine-in,1,12,1.2,0.0,10.8
CB-2084,2026-06-09,JVC,Samosa Chaat,Chaat,Talabat,Delivery,1,15,0.0,3.75,11.25
CB-2085,2026-06-09,JVC,Masala Dosa,Mains,Noon,Delivery,1,20,0.0,4.0,16.0
CB-2086,2026-06-09,JVC,Dahi Puri,Chaat,Noon,Delivery,6,84,0.0,16.8,67.2
CB-2087,2026-06-09,JVC,Gulab Jamun,Desserts,Noon,Delivery,5,50,0.0,10.0,40.0
CB-2088,2026-06-09,JVC,Pani Puri,Chaat,Careem,Delivery,4,48,4.8,9.5,33.7
CB-2089,2026-06-09,Barsha,Dahi Puri,Chaat,Talabat,Delivery,3,42,0.0,10.5,31.5
CB-2090,2026-06-09,Deira,Sev Puri,Chaat,Direct,Takeaway,6,78,0.0,0.0,78.0
CB-2091,2026-06-09,Deira,Falooda,Desserts,Direct,Dine-in,5,80,0.0,0.0,80.0
CB-2092,2026-06-09,Deira,Pav Bhaji,Mains,Noon,Delivery,4,88,0.0,17.6,70.4
CB-2093,2026-06-10,Karama,Vada Pav,Snacks,Careem,Delivery,5,50,0.0,11.0,39.0
CB-2094,2026-06-10,Muweilah,Sev Puri,Chaat,Careem,Delivery,4,52,0.0,11.44,40.56
CB-2095,2026-06-10,Muweilah,Pav Bhaji,Mains,Careem,Delivery,1,22,0.0,4.84,17.16
CB-2096,2026-06-10,JVC,Masala Chai,Beverages,Talabat,Delivery,2,16,0.0,4.0,12.0
CB-2097,2026-06-10,JVC,Masala Dosa,Mains,Careem,Delivery,4,80,0.0,17.6,62.4
CB-2098,2026-06-10,JVC,Mango Lassi,Beverages,Noon,Delivery,3,36,5.4,6.12,24.48
CB-2099,2026-06-10,Barsha,Mango Lassi,Beverages,Talabat,Delivery,3,36,0.0,9.0,27.0
CB-2100,2026-06-10,Barsha,Mango Lassi,Beverages,Talabat,Delivery,3,36,0.0,9.0,27.0
CB-2101,2026-06-10,Deira,Sev Puri,Chaat,Talabat,Delivery,1,13,0.0,3.25,9.75
CB-2102,2026-06-11,Karama,Samosa Chaat,Chaat,Noon,Delivery,5,75,0.0,15.0,60.0
CB-2103,2026-06-11,Karama,Gulab Jamun,Desserts,Direct,Takeaway,3,30,0.0,0.0,30.0
CB-2104,2026-06-11,Karama,Paneer Tikka,Mains,Direct,Dine-in,5,140,0.0,0.0,140.0
CB-2105,2026-06-11,JVC,Samosa Chaat,Chaat,Talabat,Delivery,3,45,6.75,9.56,28.69
CB-2106,2026-06-11,Barsha,Vada Pav,Snacks,Talabat,Delivery,6,60,0.0,15.0,45.0
CB-2107,2026-06-11,Barsha,Vada Pav,Snacks,Noon,Delivery,3,30,0.0,6.0,24.0
CB-2108,2026-06-11,Barsha,Falooda,Desserts,Talabat,Delivery,3,48,0.0,12.0,36.0
CB-2109,2026-06-11,Deira,Masala Dosa,Mains,Direct,Dine-in,5,100,0.0,0.0,100.0
CB-2110,2026-06-12,Karama,Chole Bhature,Mains,Careem,Delivery,6,144,14.4,28.51,101.09
CB-2111,2026-06-12,Karama,Masala Chai,Beverages,Careem,Delivery,3,24,2.4,4.75,16.85
CB-2112,2026-06-12,Karama,Falooda,Desserts,Noon,Delivery,2,32,3.2,5.76,23.04
CB-2113,2026-06-12,Karama,Pav Bhaji,Mains,Careem,Delivery,4,88,0.0,19.36,68.64
CB-2114,2026-06-12,Karama,Vada Pav,Snacks,Talabat,Delivery,6,60,0.0,15.0,45.0
CB-2115,2026-06-12,Karama,Aloo Tikki Chaat,Chaat,Talabat,Delivery,6,96,0.0,24.0,72.0
CB-2116,2026-06-12,JVC,Bhel Puri,Chaat,Talabat,Delivery,2,24,0.0,6.0,18.0
CB-2117,2026-06-12,JVC,Masala Dosa,Mains,Direct,Takeaway,5,100,0.0,0.0,100.0
CB-2118,2026-06-12,JVC,Masala Chai,Beverages,Direct,Takeaway,5,40,6.0,0.0,34.0
CB-2119,2026-06-12,Barsha,Vada Pav,Snacks,Noon,Delivery,5,50,0.0,10.0,40.0
CB-2120,2026-06-12,Deira,Samosa Chaat,Chaat,Careem,Delivery,2,30,1.5,6.27,22.23
CB-2121,2026-06-12,Deira,Gulab Jamun,Desserts,Direct,Dine-in,1,10,0.0,0.0,10.0
CB-2122,2026-06-12,Deira,Masala Chai,Beverages,Noon,Delivery,6,48,0.0,9.6,38.4
CB-2123,2026-06-12,Deira,Masala Chai,Beverages,Direct,Takeaway,2,16,1.6,0.0,14.4
CB-2124,2026-06-12,Deira,Aloo Tikki Chaat,Chaat,Talabat,Delivery,6,96,0.0,24.0,72.0
CB-2125,2026-06-13,Karama,Masala Dosa,Mains,Talabat,Delivery,1,20,2.0,4.5,13.5
CB-2126,2026-06-13,Karama,Pav Bhaji,Mains,Talabat,Delivery,2,44,0.0,11.0,33.0
CB-2127,2026-06-13,Karama,Falooda,Desserts,Careem,Delivery,5,80,0.0,17.6,62.4
CB-2128,2026-06-13,Karama,Mango Lassi,Beverages,Talabat,Delivery,4,48,4.8,10.8,32.4
CB-2129,2026-06-13,Karama,Masala Dosa,Mains,Talabat,Delivery,3,60,0.0,15.0,45.0
CB-2130,2026-06-13,Karama,Mango Lassi,Beverages,Talabat,Delivery,6,72,0.0,18.0,54.0
CB-2131,2026-06-13,Muweilah,Masala Dosa,Mains,Talabat,Delivery,2,40,6.0,8.5,25.5
CB-2132,2026-06-13,Muweilah,Masala Dosa,Mains,Noon,Delivery,1,20,2.0,3.6,14.4
CB-2133,2026-06-13,Muweilah,Samosa Chaat,Chaat,Careem,Delivery,3,45,0.0,9.9,35.1
CB-2134,2026-06-13,Muweilah,Dahi Puri,Chaat,Talabat,Delivery,4,56,0.0,14.0,42.0
CB-2135,2026-06-13,Muweilah,Aloo Tikki Chaat,Chaat,Noon,Delivery,1,16,0.0,3.2,12.8
CB-2136,2026-06-13,JVC,Falooda,Desserts,Talabat,Delivery,2,32,1.6,7.6,22.8
CB-2137,2026-06-13,JVC,Paneer Tikka,Mains,Careem,Delivery,4,112,0.0,24.64,87.36
CB-2138,2026-06-13,JVC,Sev Puri,Chaat,Talabat,Delivery,2,26,2.6,5.85,17.55
CB-2139,2026-06-13,JVC,Chole Bhature,Mains,Talabat,Delivery,1,24,1.2,5.7,17.1
CB-2140,2026-06-13,JVC,Vada Pav,Snacks,Noon,Delivery,6,60,9.0,10.2,40.8
CB-2141,2026-06-13,Barsha,Samosa Chaat,Chaat,Careem,Delivery,3,45,0.0,9.9,35.1
CB-2142,2026-06-13,Barsha,Pav Bhaji,Mains,Direct,Dine-in,6,132,0.0,0.0,132.0
CB-2143,2026-06-13,Barsha,Samosa Chaat,Chaat,Direct,Dine-in,2,30,0.0,0.0,30.0
CB-2144,2026-06-13,Barsha,Vada Pav,Snacks,Talabat,Delivery,2,20,0.0,5.0,15.0
CB-2145,2026-06-14,Karama,Paneer Tikka,Mains,Talabat,Delivery,4,112,0.0,28.0,84.0
CB-2146,2026-06-14,Muweilah,Pani Puri,Chaat,Careem,Delivery,2,24,2.4,4.75,16.85
CB-2147,2026-06-14,Barsha,Masala Chai,Beverages,Talabat,Delivery,1,8,0.8,1.8,5.4
CB-2148,2026-06-14,Barsha,Sev Puri,Chaat,Talabat,Delivery,4,52,0.0,13.0,39.0
CB-2149,2026-06-14,Deira,Falooda,Desserts,Careem,Delivery,2,32,0.0,7.04,24.96
CB-2150,2026-06-15,Karama,Samosa Chaat,Chaat,Talabat,Delivery,1,15,0.0,3.75,11.25
CB-2151,2026-06-15,Karama,Pani Puri,Chaat,Talabat,Delivery,6,72,0.0,18.0,54.0
CB-2152,2026-06-15,Muweilah,Mango Lassi,Beverages,Careem,Delivery,3,36,3.6,7.13,25.27
CB-2153,2026-06-15,Muweilah,Samosa Chaat,Chaat,Noon,Delivery,1,15,0.75,2.85,11.4
CB-2154,2026-06-15,JVC,Gulab Jamun,Desserts,Careem,Delivery,1,10,0.5,2.09,7.41
CB-2155,2026-06-15,JVC,Masala Chai,Beverages,Talabat,Delivery,3,24,0.0,6.0,18.0
CB-2156,2026-06-15,JVC,Vada Pav,Snacks,Talabat,Delivery,4,40,0.0,10.0,30.0
CB-2157,2026-06-15,Deira,Masala Chai,Beverages,Talabat,Delivery,2,16,0.8,3.8,11.4
CB-2158,2026-06-16,Karama,Paneer Tikka,Mains,Talabat,Delivery,1,28,0.0,7.0,21.0
CB-2159,2026-06-16,Karama,Pani Puri,Chaat,Direct,Takeaway,2,24,0.0,0.0,24.0
CB-2160,2026-06-16,Karama,Samosa Chaat,Chaat,Noon,Delivery,6,90,9.0,16.2,64.8
CB-2161,2026-06-16,Karama,Chole Bhature,Mains,Direct,Takeaway,1,24,0.0,0.0,24.0
CB-2162,2026-06-16,JVC,Mango Lassi,Beverages,Careem,Delivery,2,24,0.0,5.28,18.72
CB-2163,2026-06-16,Deira,Chole Bhature,Mains,Direct,Takeaway,1,24,0.0,0.0,24.0
CB-2164,2026-06-17,Karama,Masala Chai,Beverages,Talabat,Delivery,5,40,0.0,10.0,30.0
CB-2165,2026-06-17,Karama,Pani Puri,Chaat,Careem,Delivery,5,60,0.0,13.2,46.8
CB-2166,2026-06-17,Karama,Samosa Chaat,Chaat,Direct,Dine-in,6,90,13.5,0.0,76.5
CB-2167,2026-06-17,Karama,Mango Lassi,Beverages,Talabat,Delivery,2,24,2.4,5.4,16.2
CB-2168,2026-06-17,Karama,Pav Bhaji,Mains,Talabat,Delivery,6,132,13.2,29.7,89.1
CB-2169,2026-06-17,Muweilah,Chole Bhature,Mains,Direct,Takeaway,5,120,0.0,0.0,120.0
CB-2170,2026-06-17,Muweilah,Masala Chai,Beverages,Direct,Dine-in,6,48,0.0,0.0,48.0
CB-2171,2026-06-17,Muweilah,Pani Puri,Chaat,Noon,Delivery,2,24,3.6,4.08,16.32
CB-2172,2026-06-17,JVC,Masala Dosa,Mains,Talabat,Delivery,4,80,0.0,20.0,60.0
CB-2173,2026-06-17,JVC,Falooda,Desserts,Careem,Delivery,4,64,0.0,14.08,49.92
CB-2174,2026-06-17,JVC,Aloo Tikki Chaat,Chaat,Talabat,Delivery,3,48,0.0,12.0,36.0
CB-2175,2026-06-17,Deira,Samosa Chaat,Chaat,Careem,Delivery,3,45,2.25,9.4,33.35
CB-2176,2026-06-17,Deira,Bhel Puri,Chaat,Direct,Dine-in,3,36,0.0,0.0,36.0
CB-2177,2026-06-18,Karama,Pav Bhaji,Mains,Talabat,Delivery,1,22,0.0,5.5,16.5
CB-2178,2026-06-18,Karama,Samosa Chaat,Chaat,Careem,Delivery,6,90,0.0,19.8,70.2
CB-2179,2026-06-18,Muweilah,Sev Puri,Chaat,Talabat,Delivery,2,26,0.0,6.5,19.5
CB-2180,2026-06-18,Muweilah,Masala Dosa,Mains,Direct,Takeaway,4,80,0.0,0.0,80.0
CB-2181,2026-06-18,Muweilah,Samosa Chaat,Chaat,Talabat,Delivery,1,15,1.5,3.38,10.12
CB-2182,2026-06-18,Muweilah,Masala Chai,Beverages,Careem,Delivery,5,40,0.0,8.8,31.2
CB-2183,2026-06-18,Muweilah,Masala Chai,Beverages,Careem,Delivery,2,16,0.8,3.34,11.86
CB-2184,2026-06-18,Muweilah,Falooda,Desserts,Talabat,Delivery,3,48,4.8,10.8,32.4
CB-2185,2026-06-18,Muweilah,Bhel Puri,Chaat,Talabat,Delivery,1,12,1.2,2.7,8.1
CB-2186,2026-06-18,Barsha,Masala Chai,Beverages,Talabat,Delivery,1,8,0.8,1.8,5.4
CB-2187,2026-06-18,Deira,Bhel Puri,Chaat,Careem,Delivery,6,72,0.0,15.84,56.16
CB-2188,2026-06-19,Karama,Samosa Chaat,Chaat,Talabat,Delivery,2,30,0.0,7.5,22.5
CB-2189,2026-06-19,Karama,Samosa Chaat,Chaat,Direct,Takeaway,6,90,0.0,0.0,90.0
CB-2190,2026-06-19,Karama,Pani Puri,Chaat,Talabat,Delivery,2,24,0.0,6.0,18.0
CB-2191,2026-06-19,Karama,Sev Puri,Chaat,Direct,Takeaway,6,78,0.0,0.0,78.0
CB-2192,2026-06-19,Karama,Chole Bhature,Mains,Careem,Delivery,4,96,14.4,17.95,63.65
CB-2193,2026-06-19,Karama,Masala Chai,Beverages,Direct,Takeaway,2,16,0.0,0.0,16.0
CB-2194,2026-06-19,Karama,Aloo Tikki Chaat,Chaat,Direct,Takeaway,1,16,0.0,0.0,16.0
CB-2195,2026-06-19,Muweilah,Pani Puri,Chaat,Noon,Delivery,3,36,5.4,6.12,24.48
CB-2196,2026-06-19,Muweilah,Pani Puri,Chaat,Talabat,Delivery,3,36,0.0,9.0,27.0
CB-2197,2026-06-19,Muweilah,Paneer Tikka,Mains,Talabat,Delivery,3,84,0.0,21.0,63.0
CB-2198,2026-06-19,Muweilah,Sev Puri,Chaat,Direct,Takeaway,3,39,0.0,0.0,39.0
CB-2199,2026-06-19,Muweilah,Masala Dosa,Mains,Noon,Delivery,1,20,3.0,3.4,13.6
CB-2200,2026-06-19,Muweilah,Dahi Puri,Chaat,Talabat,Delivery,3,42,0.0,10.5,31.5
CB-2201,2026-06-19,JVC,Mango Lassi,Beverages,Careem,Delivery,5,60,9.0,11.22,39.78
CB-2202,2026-06-19,Barsha,Aloo Tikki Chaat,Chaat,Direct,Dine-in,5,80,4.0,0.0,76.0
CB-2203,2026-06-19,Barsha,Masala Chai,Beverages,Careem,Delivery,3,24,0.0,5.28,18.72
CB-2204,2026-06-19,Deira,Vada Pav,Snacks,Noon,Delivery,2,20,0.0,4.0,16.0
CB-2205,2026-06-19,Deira,Paneer Tikka,Mains,Direct,Dine-in,1,28,0.0,0.0,28.0
CB-2206,2026-06-19,Deira,Dahi Puri,Chaat,Careem,Delivery,1,14,0.7,2.93,10.37
CB-2207,2026-06-20,Karama,Samosa Chaat,Chaat,Talabat,Delivery,2,30,0.0,7.5,22.5
CB-2208,2026-06-20,Karama,Dahi Puri,Chaat,Direct,Takeaway,2,28,0.0,0.0,28.0
CB-2209,2026-06-20,Karama,Masala Dosa,Mains,Direct,Dine-in,5,100,0.0,0.0,100.0
CB-2210,2026-06-20,Muweilah,Mango Lassi,Beverages,Careem,Delivery,4,48,0.0,10.56,37.44
CB-2211,2026-06-20,Muweilah,Falooda,Desserts,Careem,Delivery,6,96,0.0,21.12,74.88
CB-2212,2026-06-20,Muweilah,Pav Bhaji,Mains,Careem,Delivery,6,132,0.0,29.04,102.96
CB-2213,2026-06-20,Muweilah,Bhel Puri,Chaat,Talabat,Delivery,3,36,5.4,7.65,22.95
CB-2214,2026-06-20,JVC,Paneer Tikka,Mains,Talabat,Delivery,6,168,0.0,42.0,126.0
CB-2215,2026-06-20,JVC,Masala Dosa,Mains,Talabat,Delivery,3,60,0.0,15.0,45.0
CB-2216,2026-06-20,JVC,Mango Lassi,Beverages,Direct,Dine-in,3,36,0.0,0.0,36.0
CB-2217,2026-06-20,JVC,Masala Chai,Beverages,Talabat,Delivery,1,8,0.8,1.8,5.4
CB-2218,2026-06-20,JVC,Masala Chai,Beverages,Talabat,Delivery,4,32,0.0,8.0,24.0
CB-2219,2026-06-20,JVC,Dahi Puri,Chaat,Direct,Dine-in,1,14,0.0,0.0,14.0
CB-2220,2026-06-20,Barsha,Masala Chai,Beverages,Talabat,Delivery,3,24,0.0,6.0,18.0
CB-2221,2026-06-20,Barsha,Paneer Tikka,Mains,Direct,Dine-in,3,84,8.4,0.0,75.6
CB-2222,2026-06-20,Barsha,Vada Pav,Snacks,Talabat,Delivery,4,40,0.0,10.0,30.0
CB-2223,2026-06-20,Deira,Gulab Jamun,Desserts,Direct,Dine-in,4,40,0.0,0.0,40.0
CB-2224,2026-06-20,Deira,Pani Puri,Chaat,Noon,Delivery,3,36,0.0,7.2,28.8
CB-2225,2026-06-20,Deira,Masala Chai,Beverages,Noon,Delivery,5,40,4.0,7.2,28.8
CB-2226,2026-06-20,Deira,Sev Puri,Chaat,Noon,Delivery,5,65,3.25,12.35,49.4
CB-2227,2026-06-20,Deira,Pav Bhaji,Mains,Direct,Takeaway,2,44,0.0,0.0,44.0
CB-2228,2026-06-21,Karama,Chole Bhature,Mains,Talabat,Delivery,2,48,0.0,12.0,36.0
CB-2229,2026-06-21,JVC,Masala Chai,Beverages,Careem,Delivery,1,8,0.0,1.76,6.24
CB-2230,2026-06-21,JVC,Mango Lassi,Beverages,Talabat,Delivery,2,24,0.0,6.0,18.0
CB-2231,2026-06-21,Barsha,Masala Chai,Beverages,Talabat,Delivery,5,40,0.0,10.0,30.0
CB-2232,2026-06-21,Deira,Dahi Puri,Chaat,Noon,Delivery,4,56,2.8,10.64,42.56
CB-2233,2026-06-21,Deira,Pani Puri,Chaat,Talabat,Delivery,2,24,0.0,6.0,18.0
CB-2234,2026-06-21,Deira,Masala Chai,Beverages,Talabat,Delivery,1,8,1.2,1.7,5.1
CB-2235,2026-06-22,Karama,Vada Pav,Snacks,Careem,Delivery,3,30,3.0,5.94,21.06
CB-2236,2026-06-22,Muweilah,Sev Puri,Chaat,Noon,Delivery,2,26,0.0,5.2,20.8
CB-2237,2026-06-22,Muweilah,Mango Lassi,Beverages,Careem,Delivery,5,60,3.0,12.54,44.46
CB-2238,2026-06-22,Muweilah,Pani Puri,Chaat,Talabat,Delivery,6,72,0.0,18.0,54.0
CB-2239,2026-06-22,JVC,Mango Lassi,Beverages,Noon,Delivery,4,48,0.0,9.6,38.4
CB-2240,2026-06-22,Barsha,Sev Puri,Chaat,Careem,Delivery,3,39,0.0,8.58,30.42
CB-2241,2026-06-23,Muweilah,Mango Lassi,Beverages,Talabat,Delivery,4,48,0.0,12.0,36.0
CB-2242,2026-06-23,Muweilah,Falooda,Desserts,Careem,Delivery,3,48,0.0,10.56,37.44
CB-2243,2026-06-23,JVC,Dahi Puri,Chaat,Noon,Delivery,1,14,0.0,2.8,11.2
CB-2244,2026-06-23,Deira,Mango Lassi,Beverages,Talabat,Delivery,2,24,0.0,6.0,18.0
CB-2245,2026-06-24,Muweilah,Dahi Puri,Chaat,Noon,Delivery,2,28,2.8,5.04,20.16
CB-2246,2026-06-24,JVC,Samosa Chaat,Chaat,Talabat,Delivery,3,45,0.0,11.25,33.75
